Age,Avg Monthly GB Download,Avg Monthly Long Distance Charges,ChurnIndicator,Churn Category,Churn Reason,Churn Score,City,CLTV,Contract,Country,CustomerID,Customer Status,Dependents,Device Protection Plan,Gender,Internet Service,Internet Type,Lat Long,Latitude,Longitude,Married,MonthlyCharges,Multiple Lines,Number of Dependents,Number of Referrals,Offer,Online Backup,Online Security,Paperless Billing,Partner,Payment Method,Phone Service,Population,Premium Tech Support,Quarter,Referred a Friend,Satisfaction Score,Senior Citizen,State,Streaming Movies,Streaming Music,Streaming TV,Tenure in Months,Total Charges,Total Extra Data Charges,Total Long Distance Charges,Total Refunds,Total Revenue,Under 30,Unlimited Data,Zip Code,CallDuration,DataUsage,Location,ServicePlan,Complaints,Tenure,SessionCount,CongestionRisk,Cost,Profit,ChurnLabel
37,16,42.39,0,Unknown,Unknown,65,Frazier Park,2205,One Year,United States,0002-ORFBO,Stayed,0,0,Female,1,Cable,"34.827662, -118.999073",34.827662,-118.999073,1,65.6,0,0,2,Unknown,1,0,1,1,Credit Card,1,4498,1,Q3,1,3,0,California,0,0,1,9,593.3,0,381.51,0.0,974.81,0,1,93225,1813,34.225513,Bhaktapur,One Year,6,43,3,High,87.59827018737792,-21.998270187377926,0.0
46,10,10.69,0,Unknown,Unknown,66,Glendale,5414,Month-to-Month,United States,0003-MKNFE,Stayed,0,0,Male,1,Cable,"34.162515, -118.203869",34.162515,-118.203869,0,59.9,1,0,0,Unknown,0,0,0,0,Credit Card,1,31297,0,Q3,0,5,0,California,1,1,0,9,542.4,10,96.21,38.33,610.28,0,0,91206,2254,31.375515,Bhaktapur,Month-to-Month,6,43,3,High,92.14327247619629,-32.24327247619629,0.0
75,11,7.38,1,Dissatisfaction,Network reliability,68,Camarillo,3464,Month-to-Month,United States,0013-EXCHZ,Churned,0,0,Female,1,Fiber Optic,"34.227846, -119.079903",34.227846,-119.079903,1,83.9,0,0,3,Unknown,0,0,1,1,Credit Card,1,42853,1,Q3,1,1,1,California,0,0,1,3,267.4,0,22.14,0.0,289.54,0,1,93010,3675,43.375515,Bhaktapur,Month-to-Month,6,43,3,High,138.5632724761963,-54.66327247619628,1.0
23,73,16.77,0,Unknown,Unknown,55,Midpines,5108,Month-to-Month,United States,0013-MHZWF,Stayed,1,0,Female,1,Cable,"37.581496, -119.972762",37.581496,-119.972762,0,69.4,0,3,0,Offer E,0,0,1,0,Credit Card,1,433,1,Q3,0,3,0,California,1,1,1,9,571.45,0,150.93,0.0,722.38,1,1,95345,1127,36.125515,Bhaktapur,Month-to-Month,6,43,3,High,76.72827247619628,-7.328272476196275,0.0
68,21,10.53,0,Unknown,Unknown,34,Simi Valley,5525,Two Year,United States,0015-UOCOJ,Stayed,0,0,Female,1,DSL,"34.296813, -118.685703",34.296813,-118.685703,0,48.2,0,0,0,Offer E,0,1,1,0,Bank Withdrawal,1,49027,0,Q3,0,3,1,California,0,0,0,7,340.35,0,73.71,0.0,414.06,0,1,93063,3332,25.525515,Bhaktapur,Two Year,6,43,3,High,104.9282719039917,-56.7282719039917,0.0
25,59,16.01,0,Unknown,Unknown,52,Sunnyvale,6252,Two Year,United States,0017-IUDMW,Stayed,1,1,Female,1,Fiber Optic,"37.378541, -122.020456",37.378541,-122.020456,1,116.8,1,2,2,Unknown,1,1,1,1,Credit Card,1,64010,1,Q3,1,3,0,California,1,1,1,72,8456.75,0,1152.72,0.0,9609.47,1,1,94086,1225,59.825516,Bhaktapur,Two Year,6,43,3,High,114.23827362060547,2.5617263793945284,0.0
39,19,0.0,0,Unknown,Unknown,37,Los Olivos,5795,Two Year,United States,0019-GFNTW,Stayed,0,1,Female,1,DSL,"34.70434, -120.02609",34.70434,-120.02609,0,45.05,0,0,0,Unknown,1,1,0,0,Bank Withdrawal,0,1317,1,Q3,0,3,0,California,0,0,0,56,2560.1,0,0.0,0.0,2560.1,0,1,93441,1911,23.950514,Bhaktapur,Two Year,6,43,3,High,74.14577075958252,-29.09577075958252,0.0
79,17,10.67,1,Dissatisfaction,Limited range of services,92,Daly City,2654,One Year,United States,0022-TCJCI,Churned,0,1,Male,1,DSL,"37.680844, -122.48131",37.680844,-122.48131,0,62.7,0,0,0,Unknown,0,1,0,0,Credit Card,1,63337,0,Q3,0,1,1,California,1,0,0,45,2791.5,0,480.15,0.0,3271.65,0,1,94015,3871,32.775517,Bhaktapur,One Year,6,43,3,High,126.58327476501465,-63.88327476501465,1.0
30,30,34.91,0,Unknown,Unknown,78,Alpaugh,3585,Month-to-Month,United States,0027-KWYKW,Stayed,1,0,Female,1,Fiber Optic,"35.869626, -119.498771",35.869626,-119.498771,1,83.75,1,2,1,Offer D,0,0,1,1,Bank Withdrawal,1,1054,0,Q3,1,4,0,California,0,0,1,23,1849.95,0,802.93,0.0,2652.88,0,1,93201,1470,43.300514,Bhaktapur,Month-to-Month,6,43,3,High,94.35077133178712,-10.600771331787115,0.0
22,0,3.12,0,Unknown,Unknown,59,Keeler,5634,Month-to-Month,United States,0030-FNXPP,Joined,0,0,Female,0,Fiber Optic,"36.560498, -117.962461",36.560498,-117.962461,0,19.85,0,0,0,Unknown,0,0,0,0,Credit Card,1,71,0,Q3,0,4,0,California,0,0,0,3,57.2,0,9.36,0.0,66.56,1,0,93530,1078,11.350514,Bhaktapur,Month-to-Month,6,43,3,High,38.58577161788941,-18.735771617889405,0.0
